wt, s, d, c, i1, i1ref, i1delta
2.356243973855089546e+00,0.000000000000000000e+00,3.574295819132055074e-01,9.993699544377498967e-01,6.135247029332686619e-01,6.615617366077074513e-01,2.326123680097755275e-04
2.404598536176604462e+00,0.000000000000000000e+00,3.826749375125385599e-01,3.837005452766142355e-01,4.077944523249055764e-01,6.288082390813349853e-01,-1.727441407139808371e-01
2.404912526841029852e+00,1.000000000000000000e+00,3.828436553710860002e-01,3.797026919703725412e-01,4.064144778557980953e-01,6.285906656434888662e-01,-1.739065417452421991e-01
2.434741639961444992e+00,1.000000000000000000e+00,3.991472248857157457e-01,9.337212253868187872e-05,5.601289211793186729e-01,6.076416787936953501e-01,7.568884280718876645e-04
2.467396669061689085e+00,1.000000000000000000e+00,4.176084695671506974e-01,4.158701159716216011e-01,7.241206517249372254e-01,5.840888629090040807e-01,1.883014348583817166e-01
2.467710659726114475e+00,0.000000000000000000e+00,4.177890314215983447e-01,4.198679692778597428e-01,7.256659682262497357e-01,5.838593297752688871e-01,1.900762844934294205e-01
2.513239306067800438e+00,0.000000000000000000e+00,4.445696630655475157e-01,9.995566986828237077e-01,5.034292717363118008e-01,5.499793259184794225e-01,1.719591860280943185e-03
2.554686073771956334e+00,0.000000000000000000e+00,4.699529705424423942e-01,4.727266648933365900e-01,2.882381020566225360e-01,5.181438445171964169e-01,-1.816360964181253090e-01
2.555000064436381724e+00,1.000000000000000000e+00,4.701488035917075758e-01,4.687288115870984484e-01,2.865651040155026141e-01,5.178992000070836710e-01,-1.830644499491324850e-01
2.591736972174155884e+00,1.000000000000000000e+00,4.934171523666701087e-01,9.799747568877137383e-04,4.410282999539270610e-01,4.889298042775611086e-01,3.681417188145172381e-04
2.632555758549461000e+00,1.000000000000000000e+00,5.200723476009082580e-01,5.187409550544685999e-01,6.035462653928009846e-01,4.559694926608758303e-01,1.958464187743737261e-01
2.632869749213886390e+00,0.000000000000000000e+00,5.202805486653911959e-01,5.227388083607067415e-01,6.047523556680043377e-01,4.557129364866442378e-01,1.973090652238086717e-01
2.670234638280511330e+00,0.000000000000000000e+00,5.453888547716412294e-01,9.984833518034008648e-01,3.830640217423684213e-01,4.248691007910265771e-01,6.464566993790409055e-03
2.704145630038456982e+00,0.000000000000000000e+00,5.687273649424600119e-01,5.697484911225529913e-01,1.716907702652384071e-01,3.963618090630539603e-01,-1.764013927553669814e-01
2.704459620702882372e+00,1.000000000000000000e+00,5.689458249574371740e-01,5.657506378163148497e-01,1.696953233296114860e-01,3.960956721474259146e-01,-1.781307027753658567e-01
2.749046295051292166e+00,1.000000000000000000e+00,6.003889780116929975e-01,1.944531669927584971e-03,3.102581347636079179e-01,3.579203296969423742e-01,6.074511091141085450e-04
2.798656820030509085e+00,1.000000000000000000e+00,6.363074137715264422e-01,6.336053540560371289e-01,4.508122885384353573e-01,3.146107662110332326e-01,1.844711683698506965e-01
2.798970810694934475e+00,0.000000000000000000e+00,6.365376955788103475e-01,6.376032073622752705e-01,4.516440807732788887e-01,3.143340761859608756e-01,1.855796506297665849e-01
2.827543961157648056e+00,0.000000000000000000e+00,6.576407678841535986e-01,9.985921417697767311e-01,2.495213713967642799e-01,2.890289932278052865e-01,8.762024211407558327e-03
