I_out, gain, alpha, beta
6.812259922911247934e-01,4.660522640567131281e-01,7.494360180053525333e-01,3.141592653589793116e+00
6.886142475899046378e-01,4.616307352197109859e-01,7.595762687311493622e-01,3.141592653589793116e+00
6.959316969524592666e-01,4.571617397546046679e-01,7.697165194569461910e-01,3.141592653589793116e+00
7.031775879708118682e-01,4.526457371805066576e-01,7.798567701827430199e-01,3.141592653589793116e+00
7.103511755948864748e-01,4.480831918499792454e-01,7.899970209085398487e-01,3.141592653589793116e+00
7.174517222091174595e-01,4.434745729012878335e-01,8.001372716343366776e-01,3.141592653589793116e+00
7.244784977082935340e-01,4.388203542101626886e-01,8.102775223601335064e-01,3.141592653589793116e+00
7.314307795726301409e-01,4.341210143410728084e-01,8.204177730859303352e-01,3.141592653589793116e+00
7.383078529420613600e-01,4.293770364980184495e-01,8.305580238117271641e-01,3.141592653589793116e+00
7.451090106897451104e-01,4.245889084748462050e-01,8.406982745375239929e-01,3.141592653589793116e+00
7.518335534947720999e-01,4.197571226050920146e-01,8.508385252633208218e-01,3.141592653589793116e+00
7.584807899140728615e-01,4.148821757113578257e-01,8.609787759891176506e-01,3.141592653589793116e+00
7.650500364535146591e-01,4.099645690542259024e-01,8.711190267149145905e-01,3.141592653589793116e+00
7.715406176381808256e-01,4.050048082807181093e-01,8.812592774407114193e-01,3.141592653589793116e+00
7.779518660818256492e-01,4.000034033723025573e-01,8.913995281665082482e-01,3.141592653589793116e+00
7.842831225554977026e-01,3.949608685924557716e-01,9.015397788923050770e-01,3.141592653589793116e+00
7.905337360553239545e-01,3.898777224337842684e-01,9.116800296181019059e-01,3.141592653589793116e+00
7.967030638694490019e-01,3.847544875647108120e-01,9.218202803438988457e-01,3.141592653589793116e+00
8.027904716441205402e-01,3.795916907757319048e-01,9.319605310696956746e-01,3.141592653589793116e+00
8.087953334489165202e-01,3.743898629252512822e-01,9.421007817954925034e-01,3.141592653589793116e+00
8.147170318411053325e-01,3.691495388849946879e-01,9.522410325212893323e-01,3.141592653589793116e+00
8.205549579291340212e-01,3.638712574850125892e-01,9.623812832470861611e-01,3.141592653589793116e+00
8.263085114352364258e-01,3.585555614582756623e-01,9.725215339728829900e-01,3.141592653589793116e+00
8.319771007571561405e-01,3.532029973848686555e-01,9.826617846986798188e-01,3.141592653589793116e+00
8.375601430289774108e-01,3.478141156357891783e-01,9.928020354244766477e-01,3.141592653589793116e+00
8.430570641810576360e-01,3.423894703163564146e-01,1.002942286150273477e+00,3.141592653589793116e+00
8.484672989990552638e-01,3.369296192092360309e-01,1.013082536876070305e+00,3.141592653589793116e+00
