wt, s, d, c, i1, i1ref
2.546522316496895311e+00,1.000000000000000000e+00,5.305741946121753649e-01,5.291614364304848550e-01,7.330113111856305652e-01,4.543611384680425469e-01
2.546836307161320700e+00,0.000000000000000000e+00,5.307661083259149759e-01,5.341587530632878611e-01,7.298720763433743652e-01,4.541503610538943358e-01
2.576037438952885061e+00,0.000000000000000000e+00,5.488137435465632041e-01,9.989091999138182132e-01,4.330671759801774656e-01,4.343551505683160840e-01
2.603354626757896639e+00,0.000000000000000000e+00,5.660455928681189519e-01,5.663242530324552604e-01,1.466048664133297874e-01,4.155014359644406130e-01
2.603668617422322029e+00,1.000000000000000000e+00,5.662455673296938885e-01,5.613269363996522543e-01,1.487792825778565531e-01,4.152828971080221310e-01
2.638835571837969241e+00,1.000000000000000000e+00,5.889086730830785932e-01,1.627473525893208262e-03,3.850221791388044323e-01,3.905525304306202705e-01
2.677456423562296184e+00,1.000000000000000000e+00,6.143822369193107091e-01,6.130424723086846939e-01,6.275815202792602854e-01,3.628380288175854229e-01
2.677770414226721574e+00,0.000000000000000000e+00,6.145917479677780459e-01,6.180397889414877000e-01,6.239629834971140987e-01,3.626104334934696638e-01
2.701633704723053864e+00,0.000000000000000000e+00,6.306242519297375893e-01,9.978358530343953703e-01,3.454532415224567110e-01,3.452102312786184957e-01
2.723927041897258761e+00,0.000000000000000000e+00,6.457922006156133765e-01,6.473546660366977790e-01,7.897610874361683797e-02,3.287769815602831214e-01
2.724241032561684150e+00,1.000000000000000000e+00,6.460071086104655080e-01,6.423573494039018783e-01,8.069636289150067254e-02,3.285443412120592765e-01
2.764745828272563433e+00,1.000000000000000000e+00,6.740152583449010582e-01,2.296496227486954922e-03,2.923346765275739445e-01,2.982703781559716272e-01
2.808704521292122447e+00,1.000000000000000000e+00,7.050152924783896768e-01,7.019208248196875388e-01,4.986795773919388552e-01,2.648628828943832558e-01
2.809018511956547837e+00,0.000000000000000000e+00,7.052388432696230502e-01,7.069181414524834395e-01,4.945479761510413463e-01,2.646223398114305736e-01
2.827543961157648056e+00,0.000000000000000000e+00,7.184790214252551044e-01,9.982401772122244665e-01,2.485493707733577862e-01,2.503849329787546374e-01
2.844185466372195048e+00,0.000000000000000000e+00,7.304552478685880645e-01,7.333823956737504091e-01,2.380662633843255369e-02,2.375219917588860807e-01
2.844499457036620438e+00,1.000000000000000000e+00,7.306819423582318063e-01,7.283850790409545084e-01,2.504901445126033604e-02,2.372786512741835441e-01
2.890342094042732235e+00,1.000000000000000000e+00,7.640526273795505974e-01,1.223149348064112019e-03,1.927025866691858269e-01,2.015123928609914850e-01
2.940580600350799934e+00,1.000000000000000000e+00,8.011899929556300926e-01,8.007938105962963959e-01,3.448284930526162029e-01,1.618330156875541492e-01
2.940894591015225323e+00,0.000000000000000000e+00,8.014237773388531716e-01,8.057911272290994020e-01,3.401573823917722339e-01,1.615836305764800918e-01
2.953140226927816414e+00,0.000000000000000000e+00,8.105564109406937501e-01,9.993135240916544149e-01,1.569646841264363546e-01,1.518454284898033690e-01
2.964443890847131780e+00,0.000000000000000000e+00,8.190117795026200520e-01,8.194101253107959337e-01,0.000000000000000000e+00,1.428360757095909483e-01
2.964757881511557169e+00,1.000000000000000000e+00,8.192469859604779581e-01,8.144128086780000331e-01,7.465761942987349676e-04,1.425855500608547433e-01
3.015938359812901037e+00,1.000000000000000000e+00,8.578070397934239866e-01,1.498024686412691153e-04,1.048554035990996031e-01,1.015798424187215748e-01
3.072456679409476976e+00,1.000000000000000000e+00,9.008172498958040286e-01,8.996667963728981476e-01,1.790101579584442715e-01,5.599273851930204604e-02
3.072770670073902366e+00,0.000000000000000000e+00,9.010572079456879990e-01,9.046641130057011537e-01,1.737848452817803424e-01,5.573884222939230054e-02
3.078736492697985216e+00,0.000000000000000000e+00,9.056182373270701413e-01,9.996131290289227422e-01,7.425128134674720271e-02,5.091379715339003353e-02
3.084388324657643121e+00,0.000000000000000000e+00,9.099423137517061999e-01,9.104351715806444645e-01,0.000000000000000000e+00,4.634102751709211210e-02
3.084702315322068511e+00,1.000000000000000000e+00,9.101826258435408157e-01,9.054378549478414584e-01,2.413106535915220281e-04,4.608694000779212097e-02
3.140592653589793226e+00,1.000000000000000000e+00,9.530769462820494198e-01,1.591549430919059205e-02,2.198282924357599852e-02,8.105383666483877278e-04
