wt, i_1, i_1_fundamental, i_1_harmonic
3.237853152724856187e+00,0.000000000000000000e+00,1.258804078661654446e-01,-1.258804078661654446e-01
3.255355061658503857e+00,0.000000000000000000e+00,1.217989084110206177e-01,-1.217989084110206177e-01
3.272856970592151971e+00,0.000000000000000000e+00,1.176801008543758853e-01,-1.176801008543758853e-01
3.290358879525799640e+00,0.000000000000000000e+00,1.135252468240440099e-01,-1.135252468240440099e-01
3.307860788459447754e+00,0.000000000000000000e+00,1.093356189891964564e-01,-1.093356189891964564e-01
3.325362697393095424e+00,0.000000000000000000e+00,1.051125006705342507e-01,-1.051125006705342507e-01
3.342864606326743537e+00,0.000000000000000000e+00,1.008571854471946583e-01,-1.008571854471946583e-01
3.360366515260391207e+00,0.000000000000000000e+00,9.657097676051683288e-02,-9.657097676051683288e-02
3.377868424194038877e+00,0.000000000000000000e+00,9.225518751478545276e-02,-9.225518751478545276e-02
3.395370333127686990e+00,0.000000000000000000e+00,8.791113967507649396e-02,-8.791113967507649396e-02
3.412872242061334660e+00,0.000000000000000000e+00,8.354016386232798741e-02,-8.354016386232798741e-02
3.430374150994982774e+00,0.000000000000000000e+00,7.914359894575780097e-02,-7.914359894575780097e-02
3.447876059928630443e+00,0.000000000000000000e+00,7.472279163275699632e-02,-7.472279163275699632e-02
3.465377968862278557e+00,0.000000000000000000e+00,7.027909605638045509e-02,-7.027909605638045509e-02
3.482879877795926227e+00,0.000000000000000000e+00,6.581387336056435111e-02,-6.581387336056435111e-02
3.500381786729574340e+00,0.000000000000000000e+00,6.132849128319486920e-02,-6.132849128319486920e-02
3.517883695663222010e+00,0.000000000000000000e+00,5.682432373715859408e-02,-5.682432373715859408e-02
3.535385604596870124e+00,0.000000000000000000e+00,5.230275038949967759e-02,-5.230275038949967759e-02
3.552887513530517793e+00,0.000000000000000000e+00,4.776515623881641415e-02,-4.776515623881641415e-02
3.570389422464165463e+00,0.000000000000000000e+00,4.321293119102284641e-02,-4.321293119102284641e-02
3.587891331397813577e+00,0.000000000000000000e+00,3.864746963360841947e-02,-3.864746963360841947e-02
3.605393240331461246e+00,0.000000000000000000e+00,3.407017000852494149e-02,-3.407017000852494149e-02
3.622895149265109360e+00,0.000000000000000000e+00,2.948243438383041370e-02,-2.948243438383041370e-02
3.640397058198757030e+00,0.000000000000000000e+00,2.488566802422378932e-02,-2.488566802422378932e-02
3.657898967132405144e+00,0.000000000000000000e+00,2.028127896059903068e-02,-2.028127896059903068e-02
3.675400876066052813e+00,0.000000000000000000e+00,1.567067755875335699e-02,-1.567067755875335699e-02
3.692902784999700927e+00,0.000000000000000000e+00,1.105527608737848222e-02,-1.105527608737848222e-02
3.710404693933348597e+00,0.000000000000000000e+00,6.436488285471261839e-03,-6.436488285471261839e-03
3.727906602866996710e+00,0.000000000000000000e+00,1.815728929291493543e-03,-1.815728929291493543e-03
3.745408511800644380e+00,0.000000000000000000e+00,-2.805586600995779722e-03,2.805586600995779722e-03
3.762910420734292050e+00,0.000000000000000000e+00,-7.426042754864595197e-03,7.426042754864595197e-03
3.780412329667940163e+00,0.000000000000000000e+00,-1.204422424502388234e-02,1.204422424502388234e-02
3.797914238601587833e+00,0.000000000000000000e+00,-1.665871648093210367e-02,1.665871648093210367e-02
3.815416147535235947e+00,0.000000000000000000e+00,-2.126810600209988467e-02,2.126810600209988467e-02
3.832918056468883616e+00,0.000000000000000000e+00,-2.587098091104499120e-02,2.587098091104499120e-02
3.850419965402531730e+00,0.000000000000000000e+00,-3.046593130576982777e-02,3.046593130576982777e-02
3.867921874336179400e+00,0.000000000000000000e+00,-3.505154971162642574e-02,3.505154971162642574e-02
3.885423783269827513e+00,0.000000000000000000e+00,-3.962643151243944173e-02,3.962643151243944173e-02
3.902925692203475183e+00,0.000000000000000000e+00,-4.418917538075169127e-02,4.418917538075169127e-02
3.920427601137123297e+00,0.000000000000000000e+00,-4.873838370706458367e-02,4.873838370706458367e-02
3.937929510070770966e+00,0.000000000000000000e+00,-5.327266302793715047e-02,5.327266302793715047e-02
3.955431419004418636e+00,0.000000000000000000e+00,-5.779062445281753224e-02,5.779062445281753224e-02
3.972933327938066750e+00,0.000000000000000000e+00,-6.229088408947226763e-02,6.229088408947226763e-02
3.990435236871714419e+00,0.000000000000000000e+00,-6.677206346788452929e-02,6.677206346788452929e-02
4.007937145805362533e+00,-1.105405310430473541e-04,-7.123278996249275685e-02,7.112224943144970779e-02
4.025439054739010203e+00,-5.284933397884792510e-04,-7.567169721263715398e-02,7.514320387284867397e-02
4.042940963672657873e+00,-1.251582150088135061e-03,-8.008742554108920497e-02,7.883584339100106753e-02
4.060442872606306430e+00,-2.273249558947730304e-03,-8.447862237053282985e-02,8.220537281158510345e-02
4.077944781539954100e+00,-3.586846706061756675e-03,-8.884394263787007140e-02,8.525709593180831602e-02
4.095446690473601770e+00,-5.185635310419464510e-03,-9.318204920622746856e-02,8.799641389580800666e-02
4.112948599407249439e+00,-7.062789734300756357e-03,-9.749161327453213788e-02,9.042882354023137892e-02
4.130450508340897109e+00,-9.211399074030299575e-03,-1.017713147845358268e-01,9.255991571050552202e-02
4.147952417274545667e+00,-1.162446927684984872e-02,-1.060198428251607206e-01,9.439537354831087357e-02
4.165454326208193336e+00,-1.429492528325952867e-02,-1.102358960340425464e-01,9.594097075078301951e-02
4.182956235141841006e+00,-1.721561319417187763e-02,-1.144181829961508357e-01,9.720256980197895802e-02
4.200458144075488676e+00,-2.037930246221558370e-02,-1.185654226393600685e-01,9.818612017714448137e-02
4.217960053009137233e+00,-2.377868810651777298e-02,-1.226763446268540475e-01,9.889765652033627452e-02
4.235461961942784903e+00,-2.740639295028415856e-02,-1.267496897462406236e-01,9.934329679595646501e-02
4.252963870876432573e+00,-3.125496988049598218e-02,-1.307842102952611052e-01,9.952924041476512995e-02
4.270465779810080242e+00,-3.531690412902715320e-02,-1.347786704639717947e-01,9.946176633494463459e-02
4.287967688743728800e+00,-3.958461557448540724e-02,-1.387318467132841737e-01,9.914723113879876648e-02
4.305469597677376470e+00,-4.405046106407100454e-02,-1.426425281497449016e-01,9.859206708567389010e-02
4.322971506611024139e+00,-4.870673675474447573e-02,-1.465095168964450079e-01,9.780278014170053213e-02
4.340473415544671809e+00,-5.354568047298218642e-02,-1.503316284599390817e-01,9.678594798695688839e-02
4.357975324478319479e+00,-5.855947409240040702e-02,-1.541076920930668226e-01,9.554821800066641557e-02
4.375477233411968037e+00,-6.374024592851718074e-02,-1.578365511535633758e-01,9.409630522504619510e-02
4.392979142345615706e+00,-6.908007314992037351e-02,-1.615170634583488474e-01,9.243699030842847386e-02
4.410481051279263376e+00,-7.457098420510251124e-02,-1.651481016333899432e-01,9.057711742828743195e-02
4.427982960212911046e+00,-8.020496126421843008e-02,-1.687285534590243219e-01,8.852359219480589181e-02
