wt, s1, s2, s3, d1, d2, d3, c
2.470795542337246964e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.335004876535663465e-01,4.337388416447088280e-01,-1.167239329298275008e+00,7.295729572957281306e-01
2.471423923706101977e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.329195141550470805e-01,4.344283370580102055e-01,-1.167347851213057064e+00,7.335733573357341442e-01
2.513525475419376765e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.933466245885037127e-01,4.802201775995776356e-01,-1.173566802188081182e+00,9.983998399839961735e-01
2.570079798616312416e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.382680236517453976e-01,5.403777376504049768e-01,-1.178645761302150152e+00,6.383638363836396934e-01
2.570708179985167430e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.376442425671209335e-01,5.410368002499386098e-01,-1.178681042817059543e+00,6.343634363436336798e-01
2.583275807362264143e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.251160749266334582e-01,5.541728432898961332e-01,-1.179288918216529147e+00,5.543554355435524883e-01
2.583904188731119156e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,6.244870582928608860e-01,5.548273650245981736e-01,-1.179314423317458838e+00,5.503550355035500274e-01
2.827716159846798583e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,3.643226992785500995e-01,7.898220494436484218e-01,-1.154144748722198299e+00,-9.981998199819983597e-01
3.008689994076993557e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.563638756553117348e-01,9.347162573492029392e-01,-1.091080133004514119e+00,1.539153915391544558e-01
3.009318375445848570e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.556288936964223268e-01,9.351686406636786630e-01,-1.090797534360100629e+00,1.579157915791604694e-01
3.141278462905365831e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,3.707450015246095015e-04,1.021724553525552359e+00,-1.022095298527076590e+00,9.979997999799969932e-01
3.333563161774948380e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-2.251364178476604472e-01,1.115705883931126019e+00,-8.905694660834649889e-01,-2.221222122212260786e-01
